Precision,Method,QueryType,Mean (ns),Std Dev (ns),Min (ns),Max (ns)
float,direct,edge-edge,67.764,56.91564946731008,8.0,248.46
float,direct,vertex-triangle,58.03333333333333,37.850017298857466,8.0,134.5
float,poly,edge-edge,91.80533333333332,77.11985939030848,8.5,290.08
float,poly,vertex-triangle,78.36666666666666,63.01883694201131,9.5,208.5
float_fast_math,direct,edge-edge,65.62066666666666,50.7928057991718,8.0,220.81
float_fast_math,direct,vertex-triangle,53.733333333333334,31.482912977102508,9.0,81.0
float_fast_math,poly,edge-edge,85.648,72.51824393114566,9.0,276.22
float_fast_math,poly,vertex-triangle,78.3,63.169217186854546,9.0,208.5
